PROLIFIC_ID,condition_recode,aggregated_value,choice
5f16f559325a640008bb9a07,1,1,1.0
5f16f559325a640008bb9a07,1,1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,-1,-1,1.0
5f16f559325a640008bb9a07,1,-1,1.0
5f16f559325a640008bb9a07,1,1,1.0
5f16f559325a640008bb9a07,1,1,1.0
5f16f559325a640008bb9a07,1,1,1.0
5f16f559325a640008bb9a07,1,-1,1.0
5f16f559325a640008bb9a07,1,1,1.0
5f16f559325a640008bb9a07,0,-1,1.0
5f16f559325a640008bb9a07,0,1,1.0
5f16f559325a640008bb9a07,0,1,1.0
5f16f559325a640008bb9a07,0,-1,1.0
5f16f559325a640008bb9a07,0,-1,1.0
5f16f559325a640008bb9a07,0,-1,1.0
5f32bc368853aa03df112fc6,1,1,999.0
5f32bc368853aa03df112fc6,1,1,999.0
5f32bc368853aa03df112fc6,1,-1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
5f32bc368853aa03df112fc6,1,-1,1.0
5f32bc368853aa03df112fc6,1,1,1.0
