PROLIFIC_ID,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
62a1ed3d1357f3e033ae44f9,0,1.0,3.0,7.0,7.0,0.16666666666666666,-0.5,1,1.0,11.0,23.0,1.0,21
62a1ed3d1357f3e033ae44f9,1,1.0,2.5,6.0,6.0,0.0,-0.5,1,0.6666666666666666,11.0,23.0,1.0,21
62a1ed3d1357f3e033ae44f9,2,1.0,3.5,6.5,6.5,0.45454545454545453,-0.5,1,0.9090909090909091,11.0,23.0,1.0,21
62a885d5b6af18b3d4579e1b,0,1.0,3.0,7.0,7.0,0.0,0.0,0,0.2,2.0,30.0,1.0,12
62a885d5b6af18b3d4579e1b,1,1.0,3.5,7.0,7.0,0.0,0.0,0,1.0833333333333333,2.0,30.0,1.0,12
62a885d5b6af18b3d4579e1b,2,1.0,3.0,7.0,7.0,0.0,0.0,0,0.4166666666666667,2.0,30.0,1.0,12
62fb84322433c8d7e890a145,0,1.0,4.0,5.0,5.0,0.0,-1.5,1,0.3333333333333333,2.0,22.0,0.0,12
62fb84322433c8d7e890a145,1,1.0,2.0,4.0,4.0,0.09090909090909091,-1.5,1,1.1818181818181819,2.0,22.0,0.0,12
62fb84322433c8d7e890a145,2,1.0,4.0,5.5,5.5,0.09090909090909091,-1.5,1,0.6363636363636364,2.0,22.0,0.0,12
630386f64c5bbd56ab1c3b0f,0,0.0,3.0,9.0,1,1.0,-1.0,1,1.6,3.0,32.0,0.0,21
630386f64c5bbd56ab1c3b0f,1,0.0,3.0,9.0,1,1.0,-1.0,1,1.5,3.0,32.0,0.0,21
630386f64c5bbd56ab1c3b0f,2,0.0,3.0,8.0,2,1.0,-1.0,1,1.5454545454545454,3.0,32.0,0.0,21
631f3abc8826b6e7e8982648,0,0.0,3.0,4.0,6,0.0,2.5,0,1.2,3.0,36.0,0.0,12
631f3abc8826b6e7e8982648,1,0.0,1.0,2.0,8,0.45454545454545453,2.5,0,1.6363636363636365,3.0,36.0,0.0,12
631f3abc8826b6e7e8982648,2,0.0,1.5,4.5,5.5,0.2727272727272727,2.5,0,1.6363636363636365,3.0,36.0,0.0,12
63235c5bf70d8e4f79b205cd,0,0.0,2.0,5.0,5,0.0,2.5,0,1.6666666666666667,3.0,25.0,1.0,12
63235c5bf70d8e4f79b205cd,1,0.0,2.5,4.5,5.5,0.18181818181818182,2.5,0,1.5454545454545454,3.0,25.0,1.0,12
63235c5bf70d8e4f79b205cd,2,0.0,1.5,7.0,3,0.0,2.5,0,1.3333333333333333,3.0,25.0,1.0,12
6346da55c3bf67b0dbf06272,0,1.0,3.0,7.0,7.0,0.0,-0.5,1,2.3333333333333335,17.0,26.0,999.0,12
6346da55c3bf67b0dbf06272,1,1.0,2.0,6.5,6.5,0.18181818181818182,-0.5,1,0.8181818181818182,17.0,26.0,999.0,12
6346da55c3bf67b0dbf06272,2,1.0,3.5,7.0,7.0,0.0,-0.5,1,1.4545454545454546,17.0,26.0,999.0,12
63ced670c8d001d1d5057140,0,1.0,4.0,6.0,6.0,1.0,-0.5,1,1.0,2.0,22.0,0.0,21
63ced670c8d001d1d5057140,1,1.0,3.5,6.5,6.5,1.0,-0.5,1,1.2,2.0,22.0,0.0,21
63ced670c8d001d1d5057140,2,1.0,4.0,7.0,7.0,1.0,-0.5,1,1.6,2.0,22.0,0.0,21
63d13e2a6dd3ec4a5f6bff7b,0,1.0,4.0,6.0,6.0,0.2,-0.5,1,1.6,2.0,32.0,1.0,21
63d13e2a6dd3ec4a5f6bff7b,1,1.0,2.0,4.5,4.5,0.0,-0.5,1,0.6666666666666666,2.0,32.0,1.0,21
63d13e2a6dd3ec4a5f6bff7b,2,1.0,2.5,5.0,5.0,0.0,-0.5,1,0.4166666666666667,2.0,32.0,1.0,21
63d3f98237a95683bfa381e3,0,1.0,1.0,3.0,3.0,1.0,-2.5,1,0.6666666666666666,2.0,25.0,0.0,21
63d3f98237a95683bfa381e3,1,1.0,1.5,1.5,1.5,0.5833333333333334,-2.5,1,0.8333333333333334,2.0,25.0,0.0,21
63d3f98237a95683bfa381e3,2,1.0,2.5,4.0,4.0,0.36363636363636365,-2.5,1,0.5454545454545454,2.0,25.0,0.0,21
63d3f9d0ab6c170778b0d3d1,0,1.0,5.0,9.0,9.0,0.16666666666666666,-0.5,1,0.6666666666666666,1.0,21.0,0.0,12
63d3f9d0ab6c170778b0d3d1,1,1.0,4.0,8.0,8.0,0.09090909090909091,-0.5,1,1.0909090909090908,1.0,21.0,0.0,12
