endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,10.5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,13.4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,0.4824,,space,1.0508,0,0,0,0,1,,,
,,,,,,,,3,,2,,0,59,59,59,1,60,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_12.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,space,1.9376,space,0.8254,NAN,,NAN,,0,60,60,60,1,61,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_29.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,space,1.2646,NAN,,NAN,,0,61,61,61,1,62,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_18.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.4506,NAN,,NAN,,0,62,62,62,1,63,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_2.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,space,0.6074,NAN,,NAN,,0,63,63,63,1,64,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_17.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,0.9152,,space,0.8869,0,0,0,0,1,,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_23.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,space,1.0097,NAN,,NAN,,0,65,65,65,1,66,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_12.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.7713,NAN,,NAN,,0,66,66,66,1,67,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_26.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.3679,NAN,,NAN,,0,67,67,67,1,68,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_4.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.9297,NAN,,NAN,,0,68,68,68,1,69,Taylor,Rej,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_24.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.0926,,space,1.1106,0,0,0,0,1,,,
