PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
6116f60ae8f48f7d1244e8d3,space,13.3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,10.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,1.0682,NAN,,NAN,,0,53,53,53,1,54,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_19.jpeg,liked,2.7105123,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.2138,0,0,0,0,1,1.1392,,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_16.jpeg,liked,3.602308302,,,,,,,,,,,,,
,,,,,,,space,2.0815,NAN,,NAN,,0,55,55,55,1,56,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_5.jpeg,did not like,4.106391878,,,,,,,,,,,,,
,,,,,,,space,0.5949,NAN,,NAN,,0,56,56,56,1,57,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_18.jpeg,liked,3.799433026,,,,,,,,,,,,,
,,,,,,,space,1.8198,NAN,,NAN,,0,57,57,57,1,58,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_26.jpeg,liked,5.246980764,,,,,,,,,,,,,
,,,,,,,space,0.5608,NAN,,NAN,,0,58,58,58,1,59,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_8.jpeg,did not like,3.30081769,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.1316,0,0,0,0,1,0.982,,,
,,,,,,,,,3,,5,,0,59,59,59,1,60,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_20.jpeg,liked,1.661473164,,,,,,,,,,,,,
,,,,,space,1.8735,space,0.6005,NAN,,NAN,,0,60,60,60,1,61,Charlie,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_9.jpeg,liked,3.613205605,,,,,,,,,,,,,
